node1,node2
G_6513,D_OMIM:616079
G_3476,D_ORPHA:79087
G_80324,D_OMIM:303350
G_7422,D_ORPHA:423
G_10653,D_OMIM:601813
G_50489,D_OMIM:184840
G_137814,D_ORPHA:295239
G_920,D_ORPHA:888
G_6854,D_ORPHA:308
G_4703,D_ORPHA:356996
G_23568,D_ORPHA:90652
G_27089,D_OMIM:244200
G_59,D_ORPHA:33069
G_3784,D_ORPHA:31043
G_10735,D_OMIM:620601
G_5216,D_OMIM:300049
G_6569,D_OMIM:617921
G_51218,D_OMIM:147891
G_4327,D_ORPHA:911
G_83990,D_OMIM:615145
G_55262,D_OMIM:619824
G_2859,D_OMIM:607208
G_654,D_OMIM:614231
G_80208,D_OMIM:608622
G_2187,D_ORPHA:2176
G_729359,D_ORPHA:576232
G_55679,D_ORPHA:343
G_1584,D_OMIM:601369
G_6133,D_OMIM:618998
G_10681,D_OMIM:113650
G_6392,D_OMIM:273750
G_27238,D_ORPHA:22
G_79783,D_OMIM:613954
G_7424,D_OMIM:105120
G_1496,D_OMIM:618173
G_3356,D_ORPHA:251863
G_10686,D_ORPHA:595105
G_92749,D_OMIM:620601
G_9338,D_OMIM:300942
G_23347,D_OMIM:108010
G_100147744,D_OMIM:612645
G_4036,D_OMIM:619234
G_2010,D_ORPHA:289860
G_10111,D_OMIM:260000
G_4564,D_OMIM:609533
G_29914,D_OMIM:177000
G_9080,D_OMIM:616779
G_55154,D_ORPHA:664699
G_4689,D_ORPHA:521
G_93986,D_OMIM:118200
G_3653,D_OMIM:614876
G_64421,D_OMIM:616145
G_2893,D_OMIM:615724
G_345643,D_OMIM:609273
G_4026,D_OMIM:159900
G_55790,D_OMIM:617168
G_4548,D_OMIM:612160
G_5826,D_OMIM:618952
G_60681,D_OMIM:620715
G_1617,D_ORPHA:36
G_4909,D_ORPHA:93950
G_1460,D_OMIM:400045
G_7003,D_ORPHA:1596
G_1501,D_ORPHA:2318
G_779,D_OMIM:600121
G_6696,D_OMIM:616734
G_166929,D_ORPHA:699615
G_819,D_OMIM:618881
G_21,D_ORPHA:2499
G_2524,D_OMIM:618495
G_286410,D_OMIM:614809
G_2968,D_OMIM:175510
G_10299,D_OMIM:620201
G_153241,D_OMIM:619142
G_23767,D_OMIM:615716
G_940,D_ORPHA:2585
G_8322,D_OMIM:614689
G_51308,D_ORPHA:1114
G_23495,D_OMIM:619879
G_6392,D_ORPHA:210128
G_868,D_ORPHA:41751
G_26580,D_OMIM:176410
G_100288687,D_OMIM:617991
G_7546,D_ORPHA:69063
G_148345,D_OMIM:608415
G_56922,D_OMIM:613243
G_6154,D_OMIM:616566
G_10533,D_OMIM:126600
G_23500,D_OMIM:164280
G_57054,D_ORPHA:98949
G_22931,D_ORPHA:576283
G_9569,D_OMIM:618204
G_662,D_ORPHA:69663
G_2464,D_OMIM:300830
G_9508,D_OMIM:615550
G_134218,D_ORPHA:2971
G_1861,D_ORPHA:2717
G_26128,D_ORPHA:357237
G_2517,D_OMIM:201300
G_51314,D_OMIM:608782
G_667,D_OMIM:186200
G_673,D_OMIM:236270
G_3779,D_OMIM:601071
G_406960,D_OMIM:175510
G_9785,D_OMIM:614849
G_3572,D_OMIM:615837
G_4205,D_OMIM:617914
G_7707,D_OMIM:616030
G_23019,D_OMIM:301018
G_6965,D_OMIM:621080
G_1111,D_OMIM:615637
G_57094,D_ORPHA:570371
G_8438,D_OMIM:610198
G_7169,D_OMIM:235730
G_80213,D_ORPHA:251274
G_5333,D_ORPHA:438216
G_3658,D_OMIM:617928
G_9882,D_OMIM:312870
G_3240,D_OMIM:618331
G_80308,D_OMIM:620722
G_6139,D_OMIM:608629
G_126,D_OMIM:617863
G_54931,D_OMIM:616152
G_4081,D_OMIM:613471
G_3475,D_OMIM:605803
G_90665,D_OMIM:600638
G_5949,D_ORPHA:497757
G_2904,D_OMIM:601457
G_4841,D_ORPHA:464311
G_6789,D_ORPHA:308380
G_1512,D_OMIM:607080
G_1639,D_OMIM:616192
G_3746,D_OMIM:618807
G_128240,D_OMIM:617027
G_10178,D_ORPHA:363540
G_54968,D_OMIM:618531
G_5457,D_ORPHA:98915
G_4849,D_OMIM:614090
G_2258,D_ORPHA:363540
G_388389,D_ORPHA:93591
G_114327,D_ORPHA:425
G_7840,D_OMIM:618354
G_9442,D_OMIM:619258
G_2324,D_ORPHA:1947
G_23639,D_ORPHA:100924
G_514,D_OMIM:611722
G_889,D_OMIM:616330
G_55835,D_OMIM:607454
G_54829,D_OMIM:609622
G_2521,D_ORPHA:124
G_6650,D_ORPHA:544254
G_25802,D_OMIM:258660
G_200162,D_ORPHA:276193
G_7372,D_ORPHA:701
G_1757,D_ORPHA:436151
G_3476,D_OMIM:613761
G_8754,D_OMIM:166350
G_27445,D_ORPHA:797
G_1188,D_OMIM:620014
G_3673,D_OMIM:265120
G_6249,D_OMIM:300986
G_7737,D_ORPHA:498251
G_55186,D_ORPHA:1827
G_959,D_OMIM:618664
G_4091,D_OMIM:415000
G_51111,D_OMIM:231000
G_1075,D_ORPHA:79
G_113246,D_OMIM:617041
G_54704,D_OMIM:614039
G_257,D_OMIM:621387
G_3868,D_ORPHA:140944
G_4359,D_OMIM:620153
G_4781,D_ORPHA:101046
G_79925,D_OMIM:620269
G_1629,D_ORPHA:320380
G_60561,D_ORPHA:647788
G_55210,D_OMIM:617145
G_64065,D_ORPHA:2118
G_9509,D_OMIM:615582
G_1421,D_OMIM:613690
G_9922,D_OMIM:617054
G_3827,D_ORPHA:139583
G_1643,D_OMIM:604805
G_338,D_ORPHA:93571
G_3665,D_ORPHA:391428
G_3418,D_ORPHA:699745
G_10195,D_OMIM:608567
G_79827,D_OMIM:612371
G_7317,D_ORPHA:1458
G_89876,D_OMIM:173600
G_2224,D_OMIM:610992
G_6182,D_ORPHA:77261
G_29978,D_OMIM:621123
G_2628,D_ORPHA:684247
G_3785,D_OMIM:250620
G_5414,D_OMIM:615300
G_23259,D_OMIM:125852
G_5913,D_OMIM:616022
G_79228,D_ORPHA:93409
G_200894,D_OMIM:157170
G_56704,D_OMIM:162800
G_79989,D_OMIM:254130
G_57592,D_ORPHA:658778
G_1742,D_ORPHA:280785
G_84628,D_ORPHA:306577
G_9231,D_OMIM:616069
G_2903,D_OMIM:615373
G_421,D_OMIM:608654
G_348932,D_ORPHA:99961
G_5506,D_ORPHA:93
G_51733,D_OMIM:620080
G_4125,D_OMIM:601493
G_3918,D_ORPHA:169186
G_127534,D_ORPHA:1358
G_1917,D_ORPHA:79324
G_1890,D_OMIM:278760
G_79934,D_OMIM:615989
G_5092,D_OMIM:155601
G_1832,D_OMIM:229700
G_6622,D_OMIM:618594
G_6506,D_ORPHA:189466
G_4070,D_OMIM:128230
G_6337,D_OMIM:308905
G_3685,D_OMIM:140000
G_9370,D_OMIM:620321
G_50,D_OMIM:142900
G_672,D_OMIM:613956
G_30062,D_ORPHA:163746
G_1798,D_ORPHA:440437
G_55967,D_OMIM:616683
G_4665,D_OMIM:184252
G_4715,D_OMIM:614299
G_56616,D_OMIM:101400
G_23395,D_OMIM:618241
G_10973,D_OMIM:300804
G_7737,D_ORPHA:158668
G_392617,D_OMIM:617626
G_29078,D_OMIM:613835
G_7021,D_OMIM:135900
G_23370,D_ORPHA:100093
G_24145,D_OMIM:621336
G_493753,D_ORPHA:100974
G_4929,D_OMIM:618654
G_5054,D_OMIM:616311
G_8214,D_OMIM:278780
G_10157,D_ORPHA:71517
G_2554,D_OMIM:614292
G_22931,D_OMIM:619895
G_7051,D_OMIM:137750
G_5324,D_OMIM:615995
G_51053,D_OMIM:619030
G_9469,D_OMIM:621212
G_7476,D_ORPHA:530
G_79188,D_OMIM:614813
G_9249,D_ORPHA:93297
G_6307,D_OMIM:613500
G_22930,D_ORPHA:289465
G_23499,D_ORPHA:169808
G_10194,D_OMIM:277700
G_2186,D_OMIM:615548
G_1501,D_OMIM:615300
G_3593,D_OMIM:618330
G_518,D_ORPHA:692812
G_4018,D_OMIM:618237
G_9940,D_ORPHA:3329
G_9411,D_OMIM:617596
G_55024,D_OMIM:617466
G_64220,D_ORPHA:17
G_283652,D_OMIM:105500
G_2332,D_ORPHA:241
G_7957,D_OMIM:618641
G_51776,D_ORPHA:714493
G_83479,D_OMIM:611862
G_2056,D_ORPHA:664416
G_219854,D_ORPHA:98832
G_4285,D_OMIM:118200
G_1497,D_OMIM:615269
G_420,D_ORPHA:477661
G_1829,D_ORPHA:221046
G_23221,D_ORPHA:619363
G_10973,D_ORPHA:684216
G_1108,D_ORPHA:276198
G_92002,D_OMIM:618970
G_3117,D_OMIM:619913
G_60506,D_ORPHA:2136
G_7700,D_ORPHA:2092
G_285521,D_OMIM:614493
G_1487,D_OMIM:606685
G_1027,D_OMIM:261100
G_3291,D_OMIM:600850
G_23065,D_OMIM:615073
G_3973,D_ORPHA:2290
G_79648,D_OMIM:225400
G_139886,D_ORPHA:93388
G_1468,D_ORPHA:88940
G_4036,D_ORPHA:293964
G_90459,D_OMIM:618275
G_4016,D_ORPHA:84
G_196385,D_ORPHA:260305
G_259197,D_ORPHA:225154
G_1743,D_OMIM:616854
G_6804,D_OMIM:621485
G_5692,D_OMIM:621018
G_84936,D_OMIM:616636
G_157657,D_OMIM:618906
G_23116,D_OMIM:617698
G_2694,D_OMIM:619908
G_389856,D_ORPHA:261600
G_4593,D_OMIM:621314
G_26090,D_OMIM:148600
G_6728,D_ORPHA:99898
G_324,D_OMIM:211350
G_3624,D_OMIM:610842
G_7515,D_OMIM:611081
G_43,D_ORPHA:157954
G_3141,D_OMIM:224500
G_10992,D_OMIM:235200
G_153201,D_ORPHA:585929
G_861,D_ORPHA:3301
G_51567,D_OMIM:301052
G_11254,D_OMIM:620763
G_7871,D_ORPHA:206546
G_124976,D_OMIM:614837
G_116028,D_ORPHA:700497
G_140801,D_OMIM:124200
G_92154,D_OMIM:220100
G_9531,D_OMIM:618261
G_728118,D_OMIM:615368
G_85320,D_ORPHA:3287
G_9230,D_OMIM:604117
G_5631,D_OMIM:615879
G_79827,D_OMIM:617052
G_200403,D_ORPHA:254925
G_134701,D_OMIM:619303
G_1595,D_ORPHA:79230
G_10144,D_OMIM:618183
G_26277,D_OMIM:116200
G_7555,D_ORPHA:189427
G_825,D_ORPHA:221016
G_51111,D_OMIM:619061
G_222663,D_ORPHA:370348
G_197322,D_OMIM:148210
G_8514,D_OMIM:616651
G_91039,D_OMIM:621269
G_326,D_OMIM:280000
G_23022,D_OMIM:614887
G_126328,D_OMIM:148050
G_6139,D_ORPHA:567502
G_51645,D_ORPHA:319558
G_11280,D_OMIM:616030
G_2566,D_OMIM:616221
G_367,D_OMIM:618433
G_3082,D_OMIM:104100
G_4537,D_OMIM:600740
G_10083,D_OMIM:619719
G_135,D_ORPHA:1393
G_83605,D_OMIM:617796
G_1103,D_OMIM:180920
G_23097,D_OMIM:113100
G_26278,D_ORPHA:2745
G_1311,D_OMIM:619096
G_80185,D_ORPHA:137831
G_128989,D_ORPHA:370959
G_80739,D_ORPHA:93473
G_284656,D_OMIM:245300
G_1910,D_ORPHA:696894
G_2034,D_ORPHA:1872
G_165,D_ORPHA:93284
G_5000,D_OMIM:618851
G_4353,D_OMIM:162000
G_155,D_ORPHA:216986
G_3373,D_OMIM:618459
G_286262,D_OMIM:606664
G_8481,D_OMIM:613105
G_374969,D_ORPHA:699822
G_23118,D_OMIM:613135
G_56259,D_OMIM:250790
G_84295,D_OMIM:113300
G_1175,D_OMIM:605361
G_396,D_OMIM:100100
G_2303,D_ORPHA:2196
G_2639,D_OMIM:620310
G_10161,D_OMIM:615084
G_3067,D_OMIM:617520
G_2138,D_OMIM:260000
G_54829,D_OMIM:619908
G_338557,D_ORPHA:83463
G_84168,D_ORPHA:225123
G_1538,D_OMIM:619108
G_84520,D_OMIM:602722
G_2324,D_OMIM:615593
G_2056,D_OMIM:613705
G_10011,D_OMIM:143880
G_6253,D_OMIM:602849
G_2235,D_ORPHA:314022
G_431705,D_ORPHA:228012
G_4835,D_OMIM:241500
G_25885,D_ORPHA:366
G_139411,D_ORPHA:168950
G_7168,D_OMIM:175900
G_3875,D_OMIM:111620
G_374354,D_OMIM:619799
G_1594,D_OMIM:127500
G_2893,D_OMIM:616811
G_6309,D_OMIM:610199
G_6228,D_OMIM:620774
G_64374,D_OMIM:619482
G_10008,D_OMIM:278730
G_5881,D_ORPHA:2587
G_85459,D_OMIM:102500
G_23325,D_ORPHA:478042
G_4846,D_OMIM:216340
G_7546,D_OMIM:615185
G_56649,D_OMIM:620021
G_7401,D_ORPHA:2774
G_3081,D_ORPHA:652522
G_219844,D_ORPHA:247546
G_595,D_ORPHA:1832
G_4716,D_OMIM:610442
G_100,D_OMIM:613943
G_5298,D_OMIM:608641
G_7015,D_OMIM:234200
G_2859,D_OMIM:180105
G_6567,D_OMIM:616459
G_64374,D_OMIM:609069
G_343637,D_OMIM:619367
G_23096,D_ORPHA:247820
G_3008,D_OMIM:613027
G_284086,D_OMIM:219750
G_6123,D_OMIM:617111
G_165918,D_OMIM:115196
G_5727,D_ORPHA:99042
G_57158,D_ORPHA:2021
G_79759,D_ORPHA:391646
G_400916,D_ORPHA:353298
G_56606,D_ORPHA:289380
G_6909,D_ORPHA:85335
G_246176,D_OMIM:616781
G_6925,D_OMIM:617780
G_25828,D_OMIM:614945
G_9821,D_OMIM:102370
G_8287,D_ORPHA:2963
G_140032,D_ORPHA:217059
G_5984,D_OMIM:277580
G_2588,D_OMIM:620364
G_50700,D_OMIM:252160
G_4817,D_ORPHA:526
G_4548,D_OMIM:112410
G_4983,D_OMIM:302060
G_55130,D_ORPHA:494526
G_54496,D_OMIM:619441
G_124454,D_OMIM:614350
G_7046,D_OMIM:267010
G_79693,D_OMIM:609579
G_6505,D_OMIM:617613
G_11141,D_ORPHA:412181
G_6697,D_OMIM:259600
G_7979,D_OMIM:617121
G_54941,D_OMIM:142945
G_6691,D_OMIM:613116
G_55191,D_OMIM:257920
G_4697,D_OMIM:619758
G_781,D_OMIM:245660
G_1747,D_OMIM:620877
G_324,D_OMIM:610353
G_9426,D_OMIM:607598
G_51362,D_OMIM:211500
G_1041,D_OMIM:107480
G_6301,D_ORPHA:99943
G_55572,D_OMIM:617682
G_4299,D_OMIM:613697
G_514,D_ORPHA:60033
G_10054,D_OMIM:615768
G_84690,D_OMIM:616202
G_100033413,D_ORPHA:2332
G_3229,D_ORPHA:231222
G_6718,D_OMIM:613370
G_199720,D_OMIM:617988
G_7341,D_ORPHA:566393
G_3785,D_ORPHA:660012
G_341640,D_ORPHA:3286
G_6335,D_ORPHA:1466
G_163183,D_OMIM:608800
G_11012,D_OMIM:609033
G_4194,D_ORPHA:99952
G_4036,D_ORPHA:75563
G_7818,D_OMIM:620011
G_27257,D_OMIM:270450
G_6533,D_OMIM:620010
G_4747,D_ORPHA:662829
G_6442,D_ORPHA:404451
G_60481,D_ORPHA:101108
G_6311,D_OMIM:617072
G_84706,D_ORPHA:424107
G_81603,D_OMIM:620779
G_83844,D_OMIM:227300
G_974,D_OMIM:619418
G_958,D_OMIM:615897
G_23554,D_ORPHA:85414
G_55870,D_OMIM:616339
G_54828,D_OMIM:612233
G_8869,D_OMIM:309541
G_30000,D_ORPHA:261647
G_84133,D_ORPHA:508488
G_728294,D_ORPHA:101084
G_444,D_OMIM:609446
G_84700,D_ORPHA:1159
G_9829,D_OMIM:603511
G_5075,D_ORPHA:1451
G_164781,D_OMIM:300984
G_3300,D_OMIM:616631
G_283989,D_OMIM:230740
G_388588,D_OMIM:618397
G_2673,D_OMIM:620154
G_6310,D_ORPHA:98820
G_79827,D_OMIM:616007
G_7867,D_OMIM:301091
G_283120,D_OMIM:612318
G_6530,D_OMIM:278850
G_6862,D_ORPHA:70594
G_9411,D_ORPHA:207
G_7415,D_ORPHA:563708
G_5940,D_ORPHA:398069
G_9361,D_OMIM:613119
G_361,D_OMIM:620910
G_10019,D_OMIM:619595
G_23036,D_ORPHA:98813
G_115761,D_OMIM:613694
G_406987,D_ORPHA:93946
G_5982,D_OMIM:612951
G_6929,D_OMIM:614050
G_10491,D_OMIM:620310
G_2272,D_ORPHA:1900
G_816,D_ORPHA:332
G_79644,D_ORPHA:2024
G_9338,D_OMIM:609622
G_6652,D_OMIM:603387
G_1909,D_OMIM:605389
G_1777,D_OMIM:616937
G_4848,D_ORPHA:206559
G_7075,D_ORPHA:276244
G_54790,D_ORPHA:320
G_6572,D_ORPHA:79255
G_9181,D_OMIM:617721
G_8557,D_OMIM:603278
G_5728,D_OMIM:611091
G_5236,D_ORPHA:118
G_2483,D_OMIM:615264
G_261734,D_ORPHA:71518
G_7991,D_OMIM:611131
G_345,D_OMIM:620383
G_3321,D_OMIM:618632
G_1378,D_ORPHA:95699
G_117144,D_ORPHA:157215
G_8490,D_ORPHA:401964
G_23261,D_ORPHA:1186
G_8914,D_ORPHA:3095
G_10290,D_OMIM:106300
G_57459,D_OMIM:618261
G_8653,D_ORPHA:210141
G_60684,D_ORPHA:313892
G_4615,D_ORPHA:79145
G_219285,D_OMIM:613148
G_2274,D_OMIM:612841
G_22899,D_ORPHA:544472
G_8795,D_OMIM:166900
G_2215,D_OMIM:619484
G_374291,D_OMIM:617275
G_224,D_OMIM:236500
G_4919,D_OMIM:614321
G_57231,D_OMIM:184450
G_816,D_OMIM:608643
G_973,D_OMIM:620353
G_9632,D_OMIM:122470
G_8242,D_OMIM:176920
G_54681,D_ORPHA:137634
G_10352,D_ORPHA:488333
G_6555,D_ORPHA:1945
G_4191,D_ORPHA:309169
G_2122,D_OMIM:618182
G_109580095,D_OMIM:176000
G_6901,D_ORPHA:95706
G_20,D_OMIM:609820
G_79258,D_ORPHA:538863
G_7169,D_ORPHA:391490
G_4796,D_OMIM:617121
G_5879,D_OMIM:618402
G_1200,D_OMIM:229050
G_8600,D_OMIM:300968
G_2266,D_OMIM:620869
G_917,D_ORPHA:79431
G_3553,D_ORPHA:3197
G_9993,D_OMIM:609070
G_488,D_ORPHA:1507
G_26090,D_ORPHA:289499
G_84189,D_OMIM:615735
G_22808,D_OMIM:301043
G_1297,D_ORPHA:988
G_2588,D_ORPHA:90674
G_2033,D_OMIM:618336
G_23013,D_ORPHA:275517
G_8675,D_ORPHA:391307
G_4233,D_OMIM:615726
G_55191,D_OMIM:612975
G_163786,D_ORPHA:435651
G_54899,D_ORPHA:476096
G_57135,D_ORPHA:766
G_729230,D_OMIM:613011
G_940,D_OMIM:618103
G_9907,D_ORPHA:576235
G_6652,D_OMIM:616649
G_55388,D_OMIM:300802
G_5832,D_OMIM:147920
G_7037,D_OMIM:620027
G_124997,D_OMIM:609968
G_9885,D_OMIM:300910
G_3579,D_OMIM:233690
G_92154,D_OMIM:616140
G_114971,D_OMIM:618958
G_79717,D_OMIM:618078
G_55107,D_OMIM:618922
G_3887,D_OMIM:115000
G_23129,D_OMIM:604292
G_4486,D_OMIM:619602
G_2720,D_OMIM:613988
G_4938,D_ORPHA:659396
G_3777,D_OMIM:614455
G_2550,D_ORPHA:309256
G_583,D_ORPHA:220386
G_63929,D_OMIM:614873
G_91137,D_OMIM:605543
G_54453,D_OMIM:618383
G_4607,D_OMIM:601144
G_6736,D_ORPHA:689822
G_5654,D_OMIM:614450
G_343641,D_ORPHA:445062
G_57096,D_OMIM:619662
G_6295,D_OMIM:270450
G_80185,D_ORPHA:71271
G_23301,D_ORPHA:38
G_84879,D_ORPHA:254857
G_128866,D_OMIM:613811
G_5243,D_OMIM:615284
G_56922,D_OMIM:606232
G_54675,D_OMIM:621097
G_158,D_OMIM:618497
G_2303,D_OMIM:619351
G_51744,D_ORPHA:86845
G_27429,D_OMIM:104300
G_57178,D_OMIM:618175
G_199720,D_OMIM:610536
G_285600,D_OMIM:619881
G_1284,D_ORPHA:319675
G_10528,D_OMIM:616039
G_10522,D_OMIM:185020
G_9675,D_ORPHA:370002
G_5978,D_ORPHA:98760
G_51062,D_OMIM:618317
G_114803,D_OMIM:613856
G_402569,D_ORPHA:101101
G_4920,D_ORPHA:93583
G_23562,D_OMIM:300673
G_55651,D_ORPHA:93598
G_51300,D_OMIM:608027
G_9653,D_OMIM:300953
G_79628,D_ORPHA:251523
G_10087,D_ORPHA:2591
G_79797,D_OMIM:620715
G_79717,D_OMIM:301018
G_5290,D_OMIM:610092
G_662,D_OMIM:615972
G_200879,D_ORPHA:478664
G_165918,D_OMIM:618832
G_833,D_OMIM:619464
G_343450,D_OMIM:607208
G_7020,D_OMIM:616724
G_6621,D_OMIM:614728
G_1512,D_ORPHA:654
G_1301,D_OMIM:614877
G_80217,D_ORPHA:254693
G_84062,D_OMIM:149200
G_8878,D_OMIM:145981
G_2103,D_OMIM:618970
G_81794,D_OMIM:617101
G_2273,D_OMIM:609304
G_64802,D_OMIM:129400
G_27232,D_OMIM:620453
G_151254,D_ORPHA:476113
G_283677,D_OMIM:615451
G_4286,D_ORPHA:309192
G_1581,D_OMIM:617948
G_23005,D_OMIM:620210
G_79042,D_OMIM:601847
G_116931,D_OMIM:613869
G_123263,D_OMIM:614462
G_123263,D_ORPHA:2314
G_84910,D_ORPHA:261647
G_22,D_ORPHA:166073
G_51603,D_OMIM:618168
G_55109,D_OMIM:617661
G_9054,D_OMIM:615821
G_6768,D_OMIM:617493
G_79798,D_OMIM:617816
G_84168,D_OMIM:615338
G_2895,D_OMIM:115900
G_4927,D_OMIM:619161
G_23394,D_OMIM:620327
G_130951,D_OMIM:165300
G_4436,D_OMIM:614672
G_64801,D_ORPHA:217266
G_4054,D_OMIM:300423
G_462,D_OMIM:616083
G_55975,D_ORPHA:101016
G_23085,D_OMIM:137215
G_23780,D_ORPHA:1878
G_51082,D_OMIM:616482
G_54970,D_OMIM:277170
G_79587,D_OMIM:612462
G_348980,D_ORPHA:538931
G_84868,D_ORPHA:401764
G_22953,D_OMIM:276880
G_1723,D_ORPHA:300
G_2780,D_ORPHA:763
G_6554,D_ORPHA:2751
G_2263,D_OMIM:616158
G_1105,D_ORPHA:79271
G_3131,D_OMIM:248700
G_10043,D_ORPHA:401874
G_4261,D_OMIM:617675
G_54014,D_ORPHA:1986
G_64518,D_OMIM:621280
G_27031,D_OMIM:143400
G_10479,D_OMIM:309800
G_51317,D_ORPHA:900
G_2688,D_OMIM:613353
G_1646,D_OMIM:613011
G_9031,D_ORPHA:94122
G_51057,D_OMIM:620744
G_57217,D_OMIM:144250
G_7480,D_OMIM:619833
G_164781,D_OMIM:618952
G_79776,D_ORPHA:110
G_112812,D_ORPHA:93279
G_6683,D_ORPHA:442835
G_57057,D_ORPHA:329242
G_91461,D_OMIM:270400
G_1019,D_OMIM:611391
G_9082,D_OMIM:619013
G_7546,D_ORPHA:457212
G_28976,D_ORPHA:2585
G_4255,D_OMIM:616887
G_27068,D_OMIM:614887
G_8805,D_OMIM:614188
G_5987,D_OMIM:617980
G_55779,D_OMIM:300804
G_60401,D_ORPHA:521390
G_1974,D_OMIM:556500
G_816,D_ORPHA:647804
G_7372,D_OMIM:223000
G_10084,D_OMIM:258100
G_22802,D_ORPHA:87
G_2289,D_ORPHA:52417
G_1303,D_OMIM:617478
G_2013,D_OMIM:273900
G_10075,D_OMIM:278150
G_4137,D_ORPHA:708
G_843,D_OMIM:608390
G_54538,D_ORPHA:261652
G_645104,D_OMIM:615030
G_5981,D_ORPHA:440706
G_29940,D_OMIM:613244
G_1174,D_OMIM:615833
G_81788,D_OMIM:617169
G_10381,D_OMIM:254780
G_1380,D_OMIM:614464
G_23262,D_OMIM:614209
G_8115,D_OMIM:614844
G_4744,D_OMIM:614025
G_8989,D_OMIM:618775
G_1284,D_OMIM:620125
G_1778,D_OMIM:619477
G_6497,D_ORPHA:314718
G_55967,D_OMIM:167100
G_6601,D_OMIM:605259
G_10102,D_ORPHA:397946
G_1908,D_ORPHA:90795
G_4848,D_OMIM:620197
G_29980,D_OMIM:310700
G_1537,D_OMIM:222900
G_55315,D_ORPHA:293843
G_7471,D_ORPHA:86849
G_2050,D_OMIM:619472
G_226,D_OMIM:618506
G_4342,D_OMIM:616331
G_2646,D_ORPHA:198
G_9722,D_OMIM:169600
G_768206,D_OMIM:619170
G_199713,D_OMIM:620153
G_729238,D_OMIM:256800
G_10111,D_OMIM:258865
G_81887,D_OMIM:620250
G_939,D_OMIM:615952
G_84033,D_OMIM:190330
G_51204,D_OMIM:600142
G_124997,D_OMIM:143470
G_1293,D_OMIM:300000
G_718,D_OMIM:614072
G_104,D_OMIM:204750
G_8557,D_OMIM:617107
G_11322,D_OMIM:301133
G_5654,D_OMIM:111250
G_3119,D_OMIM:614872
G_200576,D_ORPHA:363654
G_392255,D_OMIM:182000
G_54796,D_ORPHA:240112
G_274,D_OMIM:613087
G_6620,D_ORPHA:520
G_51,D_ORPHA:306547
G_8818,D_OMIM:620990
G_285175,D_ORPHA:498481
G_60,D_ORPHA:79230
G_283310,D_OMIM:276904
G_4539,D_OMIM:135400
G_51116,D_ORPHA:412
G_1407,D_OMIM:618917
G_4817,D_ORPHA:983
G_147183,D_ORPHA:3103
G_284252,D_OMIM:618186
G_9181,D_ORPHA:309803
G_570,D_OMIM:607473
G_427,D_OMIM:184500
G_4849,D_OMIM:609195
G_166336,D_OMIM:617598
G_122402,D_ORPHA:90001
G_84466,D_OMIM:606764
G_5393,D_ORPHA:1159
G_25828,D_OMIM:616740
G_7494,D_OMIM:606394
G_11077,D_ORPHA:2036
G_137814,D_OMIM:615751
G_10841,D_ORPHA:86920
G_3708,D_ORPHA:391665
G_115908,D_OMIM:619797
G_10533,D_ORPHA:88924
G_163175,D_OMIM:618494
G_2517,D_OMIM:614080
G_2120,D_ORPHA:352479
G_4723,D_OMIM:266280
