node1,node2,label
G_56098,D_ORPHA:284324,0
G_324,D_OMIM:610353,0
G_5027,D_ORPHA:1018,0
G_1155,D_OMIM:621382,1
G_595,D_OMIM:193300,1
G_10324,D_OMIM:615731,1
G_11267,D_OMIM:236800,0
G_146754,D_ORPHA:364063,0
G_7750,D_OMIM:615789,0
G_4595,D_ORPHA:440437,1
G_10,D_OMIM:228900,0
G_3575,D_ORPHA:169154,1
G_84225,D_OMIM:208550,0
G_7403,D_OMIM:300867,1
G_3745,D_OMIM:127500,0
G_27247,D_OMIM:601338,0
G_9049,D_ORPHA:2965,1
G_54532,D_OMIM:619658,1
G_23247,D_OMIM:619000,0
G_2904,D_OMIM:616139,1
G_10371,D_ORPHA:130,1
G_221496,D_OMIM:618381,0
G_84163,D_ORPHA:904,1
G_3508,D_ORPHA:443073,1
G_131118,D_OMIM:610198,1
G_59341,D_OMIM:600175,1
G_1621,D_ORPHA:230,1
G_6261,D_ORPHA:324581,1
G_50617,D_OMIM:620023,0
G_6897,D_OMIM:606824,0
G_285600,D_ORPHA:689397,0
G_4744,D_OMIM:614025,0
G_10320,D_ORPHA:695172,1
G_23424,D_OMIM:619522,0
G_54970,D_OMIM:617761,0
G_1420,D_OMIM:611561,0
G_134430,D_ORPHA:431166,0
G_10992,D_OMIM:164210,1
G_25937,D_OMIM:620138,0
G_11160,D_OMIM:600092,0
G_64446,D_OMIM:612444,1
G_131377,D_ORPHA:171430,1
G_55107,D_OMIM:620687,1
G_9180,D_OMIM:144010,0
G_101929726,D_ORPHA:1358,1
G_100506658,D_OMIM:251290,1
G_84879,D_OMIM:617961,0
G_51651,D_OMIM:604271,0
G_8301,D_ORPHA:99861,1
G_8200,D_OMIM:615298,1
G_388698,D_OMIM:620462,0
G_9230,D_ORPHA:267,0
G_8233,D_OMIM:610759,0
G_2625,D_OMIM:616231,0
G_9499,D_ORPHA:98911,1
G_51660,D_OMIM:202010,0
G_56262,D_OMIM:181400,0
G_2074,D_OMIM:278800,1
G_7494,D_OMIM:612371,1
G_79703,D_ORPHA:98885,0
G_324,D_OMIM:175100,1
G_708,D_OMIM:616829,0
G_2324,D_OMIM:153100,1
G_348980,D_OMIM:615871,1
G_23287,D_ORPHA:2056,0
G_6926,D_OMIM:181450,1
G_11235,D_ORPHA:221061,1
G_4938,D_OMIM:612379,0
G_29978,D_OMIM:614980,0
G_60529,D_OMIM:615529,1
G_54757,D_OMIM:617596,0
G_4340,D_OMIM:614250,1
G_4976,D_OMIM:621481,1
G_1286,D_OMIM:141200,1
G_63929,D_ORPHA:93589,1
G_1600,D_OMIM:615945,1
G_146227,D_OMIM:621234,0
G_54820,D_OMIM:616617,0
G_5264,D_ORPHA:99943,0
G_2678,D_ORPHA:647788,0
G_9949,D_ORPHA:363528,0
G_7314,D_ORPHA:99772,1
G_1294,D_ORPHA:89843,1
G_60561,D_OMIM:613794,0
G_8287,D_OMIM:415000,1
G_3845,D_OMIM:618832,0
G_26074,D_ORPHA:137893,1
G_221421,D_OMIM:613291,0
G_6957,D_ORPHA:99861,1
G_2132,D_OMIM:616682,1
G_6010,D_ORPHA:454840,0
G_4695,D_ORPHA:85136,1
G_57152,D_OMIM:611755,0
G_81607,D_OMIM:613573,1
G_55148,D_OMIM:619189,1
G_54332,D_OMIM:214400,1
G_6756,D_OMIM:147060,0
G_139886,D_ORPHA:93388,0
G_8504,D_OMIM:614882,1
G_6100,D_ORPHA:99951,0
G_1759,D_ORPHA:2382,1
G_79955,D_OMIM:605472,1
G_8028,D_ORPHA:99861,1
G_63925,D_OMIM:615095,1
G_4535,D_ORPHA:2613,0
G_4647,D_OMIM:601317,1
G_1280,D_OMIM:604864,1
G_54974,D_OMIM:618800,1
G_6469,D_ORPHA:93321,1
G_118491,D_OMIM:618670,1
G_715,D_ORPHA:75392,1
G_2972,D_ORPHA:99757,0
G_6204,D_OMIM:109150,0
G_10352,D_ORPHA:238769,0
G_64072,D_ORPHA:91347,1
G_649,D_OMIM:601494,0
G_57654,D_OMIM:618866,0
G_6664,D_OMIM:147950,0
G_7840,D_OMIM:617712,0
G_6789,D_ORPHA:33226,0
G_10659,D_OMIM:619561,1
G_100303755,D_OMIM:619016,0
G_2200,D_ORPHA:3449,1
G_1108,D_ORPHA:276198,0
G_7477,D_ORPHA:280293,0
G_6311,D_OMIM:617072,0
G_84706,D_OMIM:309000,0
G_57010,D_ORPHA:2763,0
G_472,D_ORPHA:440437,1
G_79053,D_ORPHA:279943,0
G_1750,D_OMIM:610688,0
G_200894,D_ORPHA:475,1
G_2846,D_ORPHA:146,1
G_85465,D_OMIM:616910,0
G_4914,D_ORPHA:457265,0
G_7941,D_OMIM:614278,1
G_2201,D_OMIM:121050,1
G_124454,D_ORPHA:631248,0
G_57178,D_OMIM:618175,0
G_8676,D_ORPHA:540,1
G_815,D_OMIM:618095,1
G_5745,D_ORPHA:79106,1
G_282809,D_OMIM:615973,1
G_9071,D_ORPHA:168558,0
G_5593,D_OMIM:619636,1
G_84930,D_OMIM:619255,0
G_51776,D_ORPHA:2020,1
G_24148,D_OMIM:274900,0
G_81031,D_ORPHA:3342,1
G_23092,D_OMIM:615501,0
G_3988,D_OMIM:300257,0
G_970,D_OMIM:609241,0
G_7855,D_ORPHA:98946,1
G_5654,D_OMIM:111250,0
G_26012,D_OMIM:123790,0
G_367,D_OMIM:312300,1
G_11340,D_ORPHA:2254,1
G_4716,D_ORPHA:2323,0
G_79572,D_OMIM:147920,0
G_79719,D_OMIM:148600,1
G_7317,D_ORPHA:1145,1
G_63916,D_ORPHA:140436,1
G_1441,D_OMIM:613830,0
G_2243,D_OMIM:202400,1
G_3769,D_OMIM:610762,0
G_6160,D_OMIM:616248,0
G_84277,D_ORPHA:904,1
G_1832,D_OMIM:609638,1
G_23321,D_OMIM:619817,0
G_7019,D_OMIM:271665,0
G_8910,D_OMIM:618307,0
G_1576,D_OMIM:619073,1
G_10282,D_OMIM:254100,1
G_81031,D_OMIM:613000,0
G_22930,D_OMIM:600118,1
G_22861,D_ORPHA:352662,1
G_84668,D_OMIM:610532,1
G_51322,D_OMIM:616708,1
G_5961,D_OMIM:169150,1
G_8560,D_OMIM:618404,1
G_6521,D_OMIM:601550,1
G_7332,D_ORPHA:404553,0
G_81603,D_OMIM:620779,0
G_3239,D_ORPHA:93387,1
G_165918,D_OMIM:618832,0
G_10653,D_OMIM:270420,1
G_161582,D_OMIM:615482,1
G_4089,D_OMIM:174900,1
G_5873,D_ORPHA:289380,0
G_3709,D_ORPHA:140922,0
G_2517,D_OMIM:137920,0
G_3691,D_OMIM:226730,1
G_5931,D_ORPHA:93346,0
G_3614,D_OMIM:180105,1
G_23639,D_ORPHA:156,0
G_158401,D_ORPHA:399805,1
G_10000,D_ORPHA:99802,1
G_6261,D_OMIM:619542,1
G_57465,D_ORPHA:98759,0
G_5732,D_OMIM:224750,0
G_5831,D_ORPHA:2078,1
G_146057,D_OMIM:618245,0
G_9636,D_ORPHA:98754,0
G_6391,D_OMIM:620987,0
G_8651,D_ORPHA:619948,1
G_6760,D_ORPHA:3273,1
G_63901,D_ORPHA:62,0
G_79947,D_OMIM:614974,0
G_6812,D_OMIM:612164,1
G_114548,D_ORPHA:1451,1
G_6387,D_ORPHA:247676,0
G_4537,D_OMIM:220400,0
G_4000,D_ORPHA:2229,1
G_775,D_OMIM:120100,0
G_2317,D_OMIM:619036,0
G_51311,D_ORPHA:921,0
G_5428,D_OMIM:618234,0
G_139285,D_ORPHA:1147,0
G_3949,D_ORPHA:1596,0
G_282996,D_OMIM:614164,0
G_22802,D_ORPHA:586,1
G_1407,D_ORPHA:423461,0
G_171023,D_ORPHA:280615,0
G_59341,D_OMIM:606071,1
G_79734,D_OMIM:616398,1
G_10243,D_OMIM:615501,1
G_5335,D_OMIM:619096,0
G_2184,D_ORPHA:352670,0
G_9759,D_OMIM:619797,1
G_2706,D_ORPHA:494,1
G_22978,D_OMIM:613162,1
G_6862,D_ORPHA:178,1
G_5130,D_OMIM:608940,1
G_124093,D_OMIM:174810,0
G_26154,D_ORPHA:457,1
G_686,D_OMIM:214500,0
G_95,D_OMIM:618142,0
G_11020,D_ORPHA:110,1
G_4624,D_OMIM:620417,0
G_81624,D_OMIM:105210,0
G_4001,D_ORPHA:2514,1
G_7337,D_ORPHA:85195,0
G_23636,D_ORPHA:225154,1
G_51132,D_OMIM:300978,1
G_10516,D_ORPHA:800,0
G_3845,D_OMIM:601626,1
G_5290,D_OMIM:114500,1
G_8822,D_ORPHA:963,0
G_7025,D_ORPHA:401777,1
G_4654,D_OMIM:618975,1
G_149465,D_OMIM:607277,0
G_1415,D_OMIM:601547,1
G_6955,D_ORPHA:566231,0
G_59,D_OMIM:614042,1
G_1501,D_OMIM:615300,0
G_23384,D_OMIM:600251,1
G_1234,D_OMIM:609532,1
G_1621,D_ORPHA:638,0
G_337,D_OMIM:620669,0
G_1075,D_OMIM:245010,1
G_7994,D_ORPHA:457193,1
G_2475,D_ORPHA:23,0
G_11155,D_OMIM:601493,1
G_9509,D_OMIM:615582,0
G_3708,D_OMIM:606658,1
G_2776,D_OMIM:616873,0
G_51067,D_ORPHA:2598,1
G_7080,D_ORPHA:95713,1
G_4513,D_OMIM:540000,1
G_118429,D_ORPHA:2176,1
G_288,D_OMIM:615493,1
G_35,D_ORPHA:899,0
G_100033413,D_OMIM:176270,1
G_221496,D_OMIM:212500,1
G_1600,D_OMIM:617595,0
G_1280,D_ORPHA:166100,1
G_6491,D_ORPHA:319462,0
G_970,D_OMIM:617393,0
G_81704,D_ORPHA:217390,1
G_3690,D_ORPHA:2886,0
G_338328,D_OMIM:614435,0
G_2314,D_ORPHA:542310,0
G_374654,D_OMIM:200990,1
G_3930,D_OMIM:618019,1
G_51398,D_OMIM:617321,0
G_1311,D_OMIM:618733,0
G_10111,D_ORPHA:145,1
G_286676,D_OMIM:617403,0
G_2064,D_OMIM:211980,1
G_146754,D_OMIM:180550,0
G_6497,D_OMIM:182000,0
G_51271,D_OMIM:618418,1
G_6874,D_ORPHA:528084,1
G_406932,D_ORPHA:276223,0
G_56683,D_OMIM:617622,0
G_22796,D_ORPHA:435934,1
G_406960,D_OMIM:613206,0
G_6714,D_ORPHA:158772,0
G_8893,D_OMIM:609823,0
G_4038,D_OMIM:600880,0
G_9131,D_OMIM:300232,1
G_90665,D_OMIM:614456,0
G_5594,D_OMIM:305600,0
G_7458,D_ORPHA:904,1
G_6487,D_OMIM:619188,0
G_7780,D_OMIM:300472,0
G_57477,D_ORPHA:85199,0
G_5515,D_OMIM:145420,0
G_92002,D_OMIM:618970,0
G_26873,D_OMIM:101900,0
G_6102,D_OMIM:228300,0
G_3500,D_ORPHA:356996,0
G_3654,D_ORPHA:536,1
G_4041,D_OMIM:618810,0
G_146167,D_OMIM:608389,0
G_9203,D_OMIM:301111,1
G_11222,D_OMIM:614582,1
G_6138,D_OMIM:615550,1
G_5096,D_ORPHA:100973,0
G_10519,D_ORPHA:659975,0
G_10229,D_OMIM:617900,0
G_4867,D_OMIM:259770,0
G_6697,D_OMIM:259600,0
G_55036,D_ORPHA:244,1
G_2335,D_ORPHA:84090,1
G_90,D_ORPHA:337,1
G_7048,D_ORPHA:60030,1
G_85365,D_ORPHA:2412,0
G_284086,D_ORPHA:730,1
G_9573,D_ORPHA:293899,0
G_3899,D_OMIM:614842,0
G_3420,D_OMIM:612572,1
G_3158,D_ORPHA:35701,1
G_155,D_OMIM:253200,0
G_2070,D_OMIM:601316,1
G_7084,D_OMIM:617069,1
G_23511,D_ORPHA:314786,0
G_51475,D_OMIM:258501,0
G_79583,D_ORPHA:2318,1
G_26040,D_OMIM:618983,0
G_6535,D_ORPHA:52503,1
G_10046,D_OMIM:300758,1
G_63931,D_OMIM:620475,0
G_10345,D_OMIM:619733,0
G_650,D_ORPHA:93396,1
G_2700,D_OMIM:218030,0
G_5813,D_ORPHA:438216,1
G_339453,D_ORPHA:98773,1
G_2673,D_ORPHA:220386,0
G_248,D_ORPHA:597887,1
G_8898,D_OMIM:601382,1
G_10274,D_OMIM:605670,0
G_146057,D_ORPHA:98767,1
G_23600,D_OMIM:616420,0
G_28981,D_OMIM:617895,1
G_8323,D_OMIM:603457,0
G_57704,D_OMIM:614409,1
G_116369,D_ORPHA:284979,0
G_9409,D_ORPHA:772,1
G_3481,D_OMIM:130650,1
G_7780,D_ORPHA:596,0
G_7341,D_ORPHA:566393,0
G_283987,D_ORPHA:485421,0
G_25977,D_OMIM:104200,0
G_1565,D_OMIM:608902,1
G_2322,D_ORPHA:99861,1
G_284439,D_ORPHA:247815,0
G_8676,D_OMIM:603552,1
G_5297,D_OMIM:616531,1
G_80217,D_OMIM:236690,1
G_84693,D_ORPHA:308425,1
G_7036,D_OMIM:604250,1
G_57623,D_OMIM:608175,1
G_27327,D_OMIM:618074,1
G_11149,D_ORPHA:476084,1
G_949,D_ORPHA:181428,1
G_3284,D_OMIM:201810,1
G_169522,D_ORPHA:209932,1
G_10653,D_OMIM:601813,0
G_1617,D_OMIM:301116,0
G_55800,D_ORPHA:334,1
G_23221,D_ORPHA:619363,0
G_1649,D_OMIM:614800,0
G_1741,D_ORPHA:206546,0
G_2731,D_OMIM:605899,1
G_79718,D_OMIM:602342,1
G_7355,D_ORPHA:268973,1
G_10736,D_OMIM:311200,0
G_56975,D_ORPHA:2554,0
G_23262,D_ORPHA:90636,1
G_25978,D_ORPHA:803,1
G_2121,D_ORPHA:952,1
G_4094,D_OMIM:601088,1
G_163786,D_OMIM:612540,0
G_1181,D_ORPHA:363540,1
G_83544,D_OMIM:614017,1
G_7299,D_ORPHA:352737,1
G_197322,D_ORPHA:251598,0
G_2354,D_OMIM:614654,0
G_4508,D_ORPHA:255210,1
G_80184,D_ORPHA:564,1
G_10943,D_ORPHA:93476,0
G_10939,D_OMIM:610246,1
G_83893,D_OMIM:120100,0
G_6566,D_ORPHA:252202,0
G_26610,D_OMIM:300419,0
G_1741,D_ORPHA:86818,0
G_6606,D_ORPHA:83420,1
G_7109,D_OMIM:615084,0
G_6522,D_OMIM:620366,1
G_91869,D_ORPHA:93317,0
G_4869,D_ORPHA:98833,1
G_3421,D_OMIM:619810,0
G_51780,D_OMIM:618846,1
G_6261,D_ORPHA:169189,1
G_59,D_ORPHA:93388,0
G_5176,D_OMIM:619565,0
G_5159,D_OMIM:615007,1
G_1351,D_OMIM:619059,1
G_5727,D_OMIM:605462,1
G_79759,D_ORPHA:272,0
G_6440,D_ORPHA:440392,1
G_51244,D_OMIM:620315,0
G_7050,D_ORPHA:30,0
G_6473,D_OMIM:249700,1
G_65109,D_ORPHA:90348,0
G_146845,D_OMIM:616890,0
G_1954,D_OMIM:615330,0
G_9325,D_OMIM:617527,0
G_9688,D_OMIM:616892,1
G_3596,D_OMIM:617396,0
G_10155,D_ORPHA:654,1
G_7386,D_ORPHA:1460,1
G_147912,D_OMIM:610896,1
G_730,D_ORPHA:169150,1
G_101101692,D_OMIM:615314,0
G_79648,D_ORPHA:2512,1
G_10075,D_OMIM:619806,0
G_57685,D_ORPHA:84132,0
G_112802,D_OMIM:110500,0
G_83871,D_OMIM:619016,0
G_859,D_ORPHA:97238,1
G_6234,D_ORPHA:1824,0
G_128674,D_ORPHA:95496,1
G_80704,D_ORPHA:65284,1
G_11322,D_OMIM:301133,0
G_25788,D_OMIM:114500,1
G_137682,D_OMIM:618239,1
G_24137,D_OMIM:208050,0
G_4916,D_ORPHA:2665,1
G_11340,D_OMIM:601321,0
G_23241,D_OMIM:618067,1
G_154881,D_OMIM:600462,0
G_2561,D_OMIM:617829,1
G_6138,D_OMIM:255300,0
G_83394,D_OMIM:600977,1
G_27241,D_OMIM:611064,0
G_64412,D_OMIM:619178,0
G_23299,D_ORPHA:85212,0
G_717,D_OMIM:615489,1
G_25977,D_OMIM:615493,0
G_5970,D_ORPHA:530792,1
G_5071,D_OMIM:600116,1
G_200403,D_OMIM:620416,0
G_9742,D_OMIM:614470,0
G_23095,D_OMIM:617232,0
G_23479,D_ORPHA:43115,1
G_4261,D_OMIM:180300,1
G_7704,D_ORPHA:99861,1
G_5705,D_OMIM:621565,1
G_10290,D_ORPHA:90797,0
G_79705,D_OMIM:615198,1
G_317761,D_OMIM:610733,0
G_55863,D_OMIM:618250,1
G_4892,D_OMIM:621595,1
G_284252,D_ORPHA:2036,1
G_5161,D_OMIM:619828,1
G_25814,D_OMIM:616294,0
G_54974,D_ORPHA:98946,0
G_64864,D_OMIM:614896,0
G_1312,D_OMIM:613837,0
G_1528,D_ORPHA:90796,1
G_79705,D_OMIM:614929,0
G_729920,D_ORPHA:899,1
G_4976,D_OMIM:609814,0
G_1789,D_ORPHA:2268,1
G_126792,D_OMIM:617672,0
G_94,D_ORPHA:240085,0
G_161357,D_ORPHA:93269,0
G_2908,D_ORPHA:96253,1
G_3178,D_ORPHA:52430,1
G_275,D_ORPHA:289857,1
G_990,D_OMIM:608768,0
G_9997,D_OMIM:604377,1
G_253430,D_ORPHA:436151,0
G_79645,D_ORPHA:280633,0
G_8572,D_ORPHA:98870,0
G_5660,D_OMIM:614162,0
G_2898,D_OMIM:611092,1
G_11212,D_ORPHA:99734,0
G_224,D_OMIM:220210,0
G_6566,D_ORPHA:171690,1
G_6160,D_ORPHA:447757,0
G_92667,D_ORPHA:1901,0
G_60,D_ORPHA:79230,0
G_84100,D_ORPHA:329217,0
G_10269,D_ORPHA:90154,1
G_9742,D_ORPHA:500150,0
G_1303,D_ORPHA:75840,1
G_4487,D_OMIM:612015,0
G_10188,D_OMIM:614292,0
G_83893,D_ORPHA:171709,1
G_987,D_OMIM:615314,0
G_1512,D_OMIM:607080,0
G_79605,D_ORPHA:2882,0
G_57731,D_ORPHA:140,0
G_4647,D_ORPHA:231169,1
G_79641,D_OMIM:226750,1
G_57105,D_OMIM:617532,0
G_10165,D_OMIM:605814,1
G_2892,D_OMIM:614924,0
G_1062,D_ORPHA:808,1
G_91624,D_ORPHA:79105,0
G_132320,D_OMIM:615985,0
G_58484,D_OMIM:616050,1
G_200734,D_OMIM:618418,0
G_643226,D_OMIM:615837,1
G_6301,D_ORPHA:37042,0
G_128989,D_OMIM:616708,0
G_6657,D_ORPHA:3157,1
G_27145,D_OMIM:124900,0
G_10165,D_OMIM:614679,0
G_6608,D_OMIM:601707,1
G_167691,D_ORPHA:364055,1
G_53630,D_OMIM:115300,1
G_7922,D_OMIM:145680,0
G_29123,D_ORPHA:261250,1
G_6102,D_OMIM:312600,1
G_3300,D_OMIM:616631,0
G_10280,D_OMIM:618492,0
G_80025,D_OMIM:122700,0
G_9675,D_ORPHA:363417,0
G_226,D_OMIM:618506,0
G_3569,D_OMIM:125853,1
G_57724,D_OMIM:242840,1
G_375307,D_OMIM:619379,1
G_2232,D_OMIM:617717,1
G_283652,D_ORPHA:33445,0
G_2968,D_OMIM:175510,0
G_54790,D_ORPHA:100019,1
G_7415,D_ORPHA:275872,1
G_5837,D_OMIM:232600,1
G_153572,D_ORPHA:457246,1
G_686,D_ORPHA:79241,1
G_51807,D_OMIM:302045,0
G_55270,D_OMIM:616903,1
G_7484,D_OMIM:230740,0
G_23005,D_OMIM:607115,0
G_126410,D_OMIM:604777,1
G_5048,D_ORPHA:95232,1
G_5294,D_OMIM:619802,1
G_9895,D_ORPHA:320385,1
G_55181,D_OMIM:263700,0
G_1605,D_ORPHA:370997,1
G_3187,D_OMIM:612713,0
G_5293,D_OMIM:615513,1
G_84231,D_OMIM:618164,1
G_10982,D_ORPHA:75382,0
G_2253,D_OMIM:612702,1
G_27063,D_OMIM:618498,0
G_123264,D_OMIM:619481,1
G_583,D_OMIM:615981,1
G_51479,D_OMIM:600975,0
G_6141,D_ORPHA:842,0
G_388015,D_ORPHA:254525,1
G_286410,D_ORPHA:295197,0
G_7273,D_OMIM:604145,1
G_25,D_ORPHA:643503,1
G_55621,D_ORPHA:90797,0
G_55572,D_OMIM:234580,0
G_3630,D_OMIM:176500,0
G_64241,D_OMIM:210250,1
G_4635,D_ORPHA:334,1
G_128869,D_OMIM:618590,1
G_3914,D_OMIM:226650,1
G_153241,D_OMIM:218040,0
G_7415,D_ORPHA:100070,1
G_79709,D_ORPHA:99810,1
G_5592,D_ORPHA:91387,1
G_662,D_OMIM:176807,0
G_8542,D_ORPHA:656,1
G_3710,D_OMIM:621254,1
G_284098,D_ORPHA:247262,1
G_9496,D_ORPHA:261279,1
G_51256,D_ORPHA:2477,1
G_7473,D_OMIM:620988,0
G_3192,D_OMIM:614583,0
G_5257,D_OMIM:261750,1
G_148789,D_OMIM:615181,1
G_25978,D_ORPHA:100070,1
G_5521,D_OMIM:604326,1
G_29998,D_ORPHA:435998,0
G_7716,D_OMIM:620247,1
G_2273,D_OMIM:300718,1
G_6583,D_ORPHA:692790,0
G_494513,D_OMIM:108770,0
G_2558,D_OMIM:615993,0
G_51004,D_OMIM:614650,1
G_51293,D_ORPHA:280183,1
G_868,D_ORPHA:41751,0
G_2744,D_OMIM:618339,1
G_4851,D_OMIM:616028,1
G_6497,D_OMIM:182212,1
G_84699,D_OMIM:618249,0
G_6906,D_OMIM:300932,1
G_9990,D_OMIM:620068,1
G_63929,D_OMIM:125400,0
G_55651,D_ORPHA:93598,0
G_84947,D_ORPHA:251656,0
G_7170,D_ORPHA:476406,1
G_8573,D_OMIM:300422,1
G_286262,D_OMIM:619680,0
G_3033,D_OMIM:617616,0
G_7128,D_OMIM:615107,0
G_389549,D_ORPHA:280234,0
G_79816,D_OMIM:160900,0
G_7827,D_OMIM:609200,0
G_4709,D_ORPHA:298,0
G_6329,D_OMIM:170400,1
G_11141,D_ORPHA:777,1
G_8467,D_ORPHA:169157,0
G_64856,D_ORPHA:268261,0
G_128178,D_OMIM:614941,1
G_1181,D_ORPHA:631079,0
G_2947,D_OMIM:621381,0
G_8653,D_OMIM:415000,1
G_1174,D_OMIM:615833,0
G_6908,D_ORPHA:569816,0
G_4508,D_ORPHA:225154,1
G_4514,D_ORPHA:99845,1
G_5981,D_OMIM:616897,0
G_7293,D_OMIM:615593,1
G_3141,D_OMIM:616812,0
G_55130,D_OMIM:615728,0
G_51364,D_OMIM:619745,0
G_7386,D_OMIM:614618,0
G_4692,D_ORPHA:177910,1
G_8260,D_OMIM:182410,0
G_6928,D_ORPHA:93173,1
G_724066,D_OMIM:617481,0
G_3043,D_OMIM:620236,0
G_6508,D_ORPHA:51083,1
G_1385,D_OMIM:612160,1
G_2323,D_ORPHA:317425,0
G_57522,D_OMIM:188470,1
G_26038,D_OMIM:619873,1
G_9084,D_OMIM:415000,1
G_831,D_OMIM:616295,1
G_7337,D_OMIM:260400,0
G_3767,D_OMIM:619665,0
G_2593,D_OMIM:618851,0
G_30008,D_ORPHA:90349,1
G_5795,D_OMIM:604559,0
G_3459,D_OMIM:610424,1
G_5728,D_ORPHA:500464,1
G_10117,D_ORPHA:684240,0
G_51816,D_OMIM:615688,1
G_9227,D_OMIM:268000,1
G_4297,D_ORPHA:98831,1
G_55294,D_ORPHA:528084,1
G_26750,D_OMIM:621460,1
G_3891,D_ORPHA:391316,0
G_54538,D_OMIM:600977,0
G_6155,D_OMIM:610915,0
G_4633,D_OMIM:619424,1
G_286204,D_ORPHA:443988,1
G_89910,D_OMIM:244450,1
G_25778,D_OMIM:612933,0
G_3815,D_OMIM:618839,0
G_6708,D_OMIM:620200,0
G_2891,D_OMIM:618917,1
G_100996717,D_OMIM:618866,1
G_57165,D_ORPHA:320401,1
G_1499,D_OMIM:114500,1
G_10370,D_ORPHA:3303,1
G_25937,D_ORPHA:157791,1
G_374654,D_ORPHA:93589,0
G_3596,D_OMIM:607602,0
G_7508,D_ORPHA:910,1
G_55361,D_OMIM:620732,1
G_1674,D_ORPHA:85146,1
G_1767,D_OMIM:608644,1
G_729582,D_ORPHA:422526,1
G_3181,D_ORPHA:52430,1
G_3460,D_ORPHA:319589,1
G_84842,D_OMIM:230900,0
G_7994,D_ORPHA:370026,1
G_285175,D_ORPHA:700333,1
G_3815,D_ORPHA:158772,1
G_8312,D_OMIM:300243,0
G_3075,D_ORPHA:329903,1
G_4221,D_ORPHA:2965,1
G_2324,D_ORPHA:3303,1
G_256472,D_OMIM:620245,1
G_54931,D_OMIM:618177,0
G_400569,D_ORPHA:79256,0
G_10516,D_ORPHA:90349,1
G_145645,D_ORPHA:399805,1
G_1604,D_OMIM:613793,1
G_51322,D_ORPHA:284169,1
G_51715,D_OMIM:201000,1
G_57534,D_ORPHA:54260,1
G_3777,D_ORPHA:199343,0
G_64682,D_OMIM:618625,1
G_27249,D_OMIM:618042,0
G_51715,D_OMIM:619166,0
G_79628,D_ORPHA:99949,1
G_79650,D_OMIM:604537,0
G_4261,D_OMIM:616435,0
G_4853,D_ORPHA:624,0
G_8482,D_OMIM:619874,1
G_160418,D_ORPHA:70472,0
G_25930,D_OMIM:609524,0
G_1414,D_ORPHA:93388,0
G_55755,D_ORPHA:2512,1
G_55084,D_OMIM:618087,0
G_5800,D_OMIM:614196,1
G_2312,D_OMIM:605803,1
G_23162,D_ORPHA:528084,1
G_3748,D_OMIM:605259,1
G_22807,D_OMIM:621233,1
G_6556,D_OMIM:617717,0
G_6606,D_OMIM:253400,1
G_8988,D_ORPHA:3006,0
G_3547,D_ORPHA:329235,1
G_3952,D_OMIM:614962,1
G_9056,D_ORPHA:470,1
G_4485,D_ORPHA:79306,0
G_4718,D_OMIM:619170,1
G_435,D_OMIM:615954,0
G_83483,D_OMIM:618183,1
G_10194,D_ORPHA:576232,0
